,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,delta_x,delta_z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,delta_angle,x,z
0,1644542202564553738,0.0392265990376,-9.62032318115,0.274586200714,acc,0.0,0.0,,,,,0,0
1,1644542202566255569,,,,gyr,0.0,0.0,-0.00174532923847,0.0,0.0,,0,0
2,1644542202566567659,0.0294199492782,-9.64974308014,0.264779537916,acc,1.1932371898514792e-07,-1.0739134482028975e-06,,,,,0.0,0.0
3,1644542202568581581,0.0294199492782,-9.58109664917,0.245166242123,acc,1.1932383748408468e-07,-9.943653048153203e-07,,,,,1.1932371898514792e-07,-1.0739134482028975e-06
4,1644542202570595503,0.0392265990376,-9.64974308014,0.313812792301,acc,1.5909844997877958e-07,-1.2727875998310479e-06,,,,,2.386475564692326e-07,-2.0682787530182176e-06
5,1644542202571265459,,,,gyr,1.5909844997877958e-07,-1.2727875998310479e-06,0.0,0.0,0.0,-0.0,2.386475564692326e-07,-2.0682787530182176e-06
6,1644542202572609186,0.0294199492782,-9.57129001617,0.245166242123,acc,1.1929551791166445e-07,-9.941293083802777e-07,,,,,3.977460064480122e-07,-3.3410663528492657e-06
7,1644542202574625015,0.0294199492782,-9.56148338318,0.196132987738,acc,1.1954992200262e-07,-7.969994497438957e-07,,,,,5.170415243596766e-07,-4.335195661229543e-06
8,1644542202576277018,,,,gyr,1.195290083281994e-07,-7.970025865146126e-07,-0.00174532923847,-0.00523598771542,0.0,2.624046135910254e-05,5.170415243596766e-07,-4.335195661229543e-06
9,1644542202576638937,0.0392265990376,-9.64974308014,0.294199496508,acc,1.5909844997877958e-07,-1.1932383899530623e-06,,,,,6.36570532687876e-07,-5.1321982477441556e-06
10,1644542202578652859,0.0294199492782,-9.67916297913,0.313812792301,acc,1.1932383748408468e-07,-1.2727875998310479e-06,,,,,7.956689826666556e-07,-6.325436637697218e-06
11,1644542202580666780,0.0392265990376,-9.67916297913,0.274586200714,acc,1.5909829198019726e-07,-1.1136880740809147e-06,,,,,9.149928201507402e-07,-7.598224237528266e-06
12,1644542202581288576,,,,gyr,1.5909829198019726e-07,-1.1136880740809147e-06,0.0,0.0,0.0,-0.0,9.149928201507402e-07,-7.598224237528266e-06
13,1644542202582680702,0.0392265990376,-9.67916297913,0.362846046686,acc,1.5909844997877958e-07,-1.4716606849687898e-06,,,,,1.0740911121309375e-06,-8.711912311609181e-06
14,1644542202584694386,0.0392265990376,-9.64974308014,0.362846046686,acc,1.5906084852879645e-07,-1.4713128715510892e-06,,,,,1.233189562109717e-06,-1.0183572996577971e-05
15,1644542202586300373,,,,gyr,1.59073718443395e-07,-1.471311480152046e-06,0.0,0.00174532923847,0.00174532923847,-8.74723584137623e-06,1.233189562109717e-06,-1.0183572996577971e-05
16,1644542202586708307,0.0294199492782,-9.62032318115,0.274586200714,acc,1.1932371898514792e-07,-1.1136880740809147e-06,,,,,1.392263280553112e-06,-1.1654884476730018e-05
17,1644542202588722229,0.0392265990376,-9.64974308014,0.313812792301,acc,1.5909844997877958e-07,-1.2727875998310479e-06,,,,,1.51158699953826e-06,-1.2768572550810933e-05
18,1644542202590738058,0.00980664975941,-9.66935634613,0.362846046686,acc,3.984997400091397e-08,-1.474449060740336e-06,,,,,1.6706854495170395e-06,-1.404136015064198e-05
19,1644542202591311932,,,,gyr,3.984997400091397e-08,-1.474449060740336e-06,0.0,0.0,0.0,-0.0,1.6706854495170395e-06,-1.404136015064198e-05
20,1644542202592750072,0.0,-9.62032318115,0.245166242123,acc,0.0,-9.924820637862383e-07,,,,,1.7105354235179535e-06,-1.5515809211382316e-05
21,1644542202594763994,0.0,-9.71838951111,0.343232750893,acc,0.0,-1.3921114750908047e-06,,,,,1.7105354235179535e-06,-1.6508291275168554e-05
