,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,delta_x,delta_z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,delta_angle,x,z
0,1.64454093642317e+18,0.343232750893,-9.67916297913,0.774725317955,acc,0.0,0.0,,,,,0,0
1,1.644540936424736e+18,,,,gyr,0.0,0.0,-0.00349065847695,0.0,0.00349065847695,,0,0
2,1.64454093642518e+18,0.313812792301,-9.62032318115,0.735498726368,acc,1.2676534087332848e-06,-2.971062654147938e-06,,,,,0.0,0.0
3,1.64454093642719e+18,0.343232750893,-9.58109664917,0.764918684959,acc,1.386849178302083e-06,-3.0906923856867118e-06,,,,,1.2676534087332848e-06,-2.971062654147938e-06
4,1.64454093642921e+18,0.313812792301,-9.57129001617,0.725692093372,acc,1.2806034297504652e-06,-2.9613954769045806e-06,,,,,2.6545025870353678e-06,-6.06175503983465e-06
5,1.644540936429748e+18,,,,gyr,1.2806034297504652e-06,-2.9613954769045806e-06,0.0,0.0,0.00174532923847,-0.0,2.6545025870353678e-06,-6.06175503983465e-06
6,1.64454093643122e+18,0.343232750893,-9.61051654816,0.637432217598,acc,1.3864959534252466e-06,-2.574920918773351e-06,,,,,3.935106016785833e-06,-9.023150516739231e-06
7,1.64454093643324e+18,0.38245934248,-9.61051654816,0.686465501785,acc,1.5607354376115246e-06,-2.801320078590192e-06,,,,,5.321601970211079e-06,-1.1598071435512582e-05
8,1.6445409364347604e+18,,,,gyr,1.5607354376115246e-06,-2.801320078590192e-06,0.0,0.0,-0.00349065847695,-0.0,5.321601970211079e-06,-1.1598071435512582e-05
9,1.64454093643525e+18,0.421685934067,-9.53206348419,0.696272134781,acc,1.7034092454146536e-06,-2.812606008153235e-06,,,,,6.882337407822604e-06,-1.4399391514102773e-05
10,1.64454093643727e+18,0.402072638273,-9.58109664917,0.725692093372,acc,1.640773136766678e-06,-2.9613954769045806e-06,,,,,8.585746653237258e-06,-1.7211997522256008e-05
11,1.64454093643928e+18,0.402072638273,-9.71838951111,0.804145276546,acc,1.6245947001150026e-06,-3.2491894002300053e-06,,,,,1.0226519790003936e-05,-2.017339299916059e-05
12,1.6445409364397722e+18,,,,gyr,1.624623121478827e-06,-3.2491751893927123e-06,0.00174532923847,0.00174532923847,0.0,-8.74723584137623e-06,1.0226519790003936e-05,-2.017339299916059e-05
13,1.6445409364413e+18,0.421685934067,-9.70858287811,0.774725317955,acc,1.720374718374366e-06,-3.1606884247710245e-06,,,,,1.1851142911482763e-05,-2.3422568188553302e-05
14,1.64454093644331e+18,0.38245934248,-9.61051654816,0.735498726368,acc,1.5453461928453765e-06,-2.971819564572013e-06,,,,,1.3571517629857129e-05,-2.6583256613324326e-05
