,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,delta_x,delta_z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,delta_angle,x,z
0,1644542222205201626,0.0686465501785,-9.62032318115,0.264779537916,acc,0.0,0.0,,,,,0,0
1,1644542222206355572,,,,gyr,0.0,0.0,-0.00523598771542,0.0,0.00174532923847,,0,0
2,1644542222207215548,0.0686465501785,-9.58109664917,0.225552946329,acc,2.784222950177553e-07,-9.148160949332792e-07,,,,,0.0,0.0
3,1644542222209229469,0.0980664938688,-9.61051654816,0.196132987738,acc,3.977457148415371e-07,-7.954914296846966e-07,,,,,2.784222950177553e-07,-9.148160949332792e-07
4,1644542222211243391,0.0784531980753,-9.62032318115,0.176519691944,acc,3.181968999579648e-07,-7.159430097955371e-07,,,,,6.761680098592923e-07,-1.710307524617976e-06
5,1644542222211367369,,,,gyr,3.181843748645609e-07,-7.159485763726332e-07,-0.00872664619237,-0.00349065847695,0.0,1.749447168280258e-05,6.761680098592923e-07,-1.710307524617976e-06
6,1644542222213257551,0.0784531980753,-9.64974308014,0.225552946329,acc,3.1827211174573706e-07,-9.1503232882491e-07,,,,,9.943523847238532e-07,-2.4262561009906092e-06
7,1644542222215273380,0.12748645246,-9.58109664917,0.176519691944,acc,5.180496847177506e-07,-7.172995168781217e-07,,,,,1.3126244964695903e-06,-3.341288429815519e-06
8,1644542222216379404,,,,gyr,5.180371352664656e-07,-7.17308580204267e-07,-0.00523598771542,-0.00349065847695,0.00523598771542,1.7495302459520094e-05,1.3126244964695903e-06,-3.341288429815519e-06
9,1644542222217287302,0.0392265990376,-9.58109664917,0.166713044047,acc,1.5909844997877958e-07,-6.761684048545165e-07,,,,,1.830661631736056e-06,-4.058597010019786e-06
10,1644542222219301462,0.0686465501785,-9.57129001617,0.176519691944,acc,2.784881053338417e-07,-7.161122363144532e-07,,,,,1.9897600817148356e-06,-4.734765414874302e-06
11,1644542222221315384,0.0784531980753,-9.56148338318,0.12748645246,acc,3.181968999579648e-07,-5.170699850944901e-07,,,,,2.2682481870486774e-06,-5.4508776511887555e-06
12,1644542222221389294,,,,gyr,3.182104634848468e-07,-5.170616380638135e-07,-0.00174532923847,0.00523598771542,0.0,-2.6231722495605508e-05,2.2682481870486774e-06,-5.4508776511887555e-06
13,1644542222223329306,0.0686465501785,-9.56148338318,0.12748645246,acc,2.784222950177553e-07,-5.170699850944901e-07,,,,,2.5864586505335243e-06,-5.967939289252569e-06
14,1644542222225343227,0.0784531980753,-9.58109664917,0.0980664938688,acc,3.181965839608001e-07,-3.977457148415371e-07,,,,,2.8648809455512796e-06,-6.485009274347059e-06
15,1644542222226401329,,,,gyr,3.182000632894171e-07,-3.977429313535801e-07,-0.00349065847695,0.00174532923847,0.0,-8.747651229734985e-06,2.8648809455512796e-06,-6.485009274347059e-06
16,1644542222227357388,0.0784531980753,-9.61051654816,0.166713044047,acc,3.1827242778040234e-07,-6.763289014754029e-07,,,,,3.183081008840697e-06,-6.882752205700639e-06
17,1644542222229371309,0.12748645246,-9.58109664917,0.176519691944,acc,5.17069471599075e-07,-7.159422988019315e-07,,,,,3.5013534366210993e-06,-7.559081107176042e-06
18,1644542222231413364,,,,gyr,5.17069471599075e-07,-7.159422988019315e-07,0.0,0.0,0.0,-0.0,3.5013534366210993e-06,-7.559081107176042e-06
19,1644542222235413313,0.0980664938688,-9.57129001617,0.176519691944,acc,3.579997021625476e-06,-6.4439947477190185e-06,,,,,4.018422908220174e-06,-8.275023405977973e-06
20,1644542222236425400,,,,gyr,3.579997021625476e-06,-6.4439947477190185e-06,-0.00174532923847,0.0,0.00349065847695,-0.0,4.018422908220174e-06,-8.275023405977973e-06
21,1644542222237429142,0.0784531980753,-9.61051654816,0.176519691944,acc,3.18799792007393e-07,-7.172995168781217e-07,,,,,7.59841992984565e-06,-1.4719018153696991e-05
22,1644542222239443302,0.0980664938688,-9.61051654816,0.166713044047,acc,3.978401245691219e-07,-6.763282299017466e-07,,,,,7.917219721853043e-06,-1.5436317670575113e-05
23,1644542222241437197,,,,gyr,3.978401245691219e-07,-6.763282299017466e-07,-0.00523598771542,0.0,0.00174532923847,-0.0,7.917219721853043e-06,-1.5436317670575113e-05
24,1644542222246449232,,,,gyr,3.978401245691219e-07,-6.763282299017466e-07,-0.00349065847695,0.0,-0.00174532923847,-0.0,7.917219721853043e-06,-1.5436317670575113e-05
25,1644542222251461267,,,,gyr,3.978342082704283e-07,-6.763317100425247e-07,-0.00174532923847,-0.00174532923847,0.0069813169539,8.747651229734985e-06,7.917219721853043e-06,-1.5436317670575113e-05
26,1644542222256473064,,,,gyr,3.978342082704283e-07,-6.763317100425247e-07,-0.00349065847695,0.0,0.00174532923847,-0.0,7.917219721853043e-06,-1.5436317670575113e-05
27,1644542222261485100,,,,gyr,3.9782829194011144e-07,-6.763351901322433e-07,0.0,-0.00174532923847,0.0,8.747652975064225e-06,7.917219721853043e-06,-1.5436317670575113e-05
28,1644542222266497135,,,,gyr,3.9783420826924787e-07,-6.76331710043219e-07,0.0,0.00174532923847,0.0,-8.747651229734985e-06,7.917219721853043e-06,-1.5436317670575113e-05
29,1644542222271508932,,,,gyr,3.978282922210532e-07,-6.763351899669901e-07,0.0,-0.00174532923847,0.00174532923847,8.74723584137623e-06,7.917219721853043e-06,-1.5436317670575113e-05
