,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
2402,1644542409488278389,0.225552946329,-9.96355628967,-0.176519691944,acc,,,
2403,1644542409488738298,,,,gyr,-0.0191986225545,0.0383972451091,0.0610865242779
2404,1644542409490292311,-0.0686465501785,-9.75761604309,-0.38245934248,acc,,,
2405,1644542409492308140,0.274586200714,-8.6690788269,-0.0392265990376,acc,,,
2406,1644542409493750095,,,,gyr,-0.0349065847695,0.0349065847695,0.0610865242779
2407,1644542409494322062,0.137293100357,-9.91452312469,-0.0392265990376,acc,,,
2408,1644542409496335745,0.0980664938688,-9.15941047668,0.0686465501785,acc,,,
2409,1644542409498351574,0.362846046686,-9.45361042023,0.637432217598,acc,,,
2410,1644542409498761415,,,,gyr,0.0261799395084,0.0279252678156,0.0471238903701
2411,1644542409500365496,0.0980664938688,-10.1106557846,0.509945809841,acc,,,
2412,1644542409502379417,0.137293100357,-10.0420093536,0.421685934067,acc,,,
2413,1644542409503773212,,,,gyr,0.0942477807403,0.0383972451091,0.0296705961227
2414,1644542409504395247,0.196132987738,-9.78703689575,0.470719188452,acc,,,
2415,1644542409506408930,0.166713044047,-10.2087221146,0.0980664938688,acc,,,
2416,1644542409508420944,0.176519691944,-10.2871751785,-0.264779537916,acc,,,
2417,1644542409508785009,,,,gyr,-0.00349065847695,0.0418879017234,0.0296705961227
2418,1644542409510436773,0.0686465501785,-8.88482475281,-0.196132987738,acc,,,
2419,1644542409512448788,0.00980664975941,-8.75733852386,-0.00980664975941,acc,,,
2420,1644542409513796568,,,,gyr,-0.130899697542,0.0314159244299,0.0471238903701
2421,1644542409514464617,0.529559075832,-11.1403541565,-0.421685934067,acc,,,
2422,1644542409516478300,0.12748645246,-8.65927219391,-0.274586200714,acc,,,
2423,1644542409518492222,0.0392265990376,-9.1299905777,-0.166713044047,acc,,,
2424,1644542409518808126,,,,gyr,-0.0645771846175,0.0209439508617,0.0349065847695
2425,1644542409520508051,0.0392265990376,-9.39477062225,0.00980664975941,acc,,,
2426,1644542409522523880,0.343232750893,-9.99297618866,0.0784531980753,acc,,,
2427,1644542409523819923,,,,gyr,-0.00523598771542,0.0,0.0261799395084
2428,1644542409524535894,0.00980664975941,-10.5127286911,-0.264779537916,acc,,,
2429,1644542409526549578,0.490332484245,-9.20844459534,-0.166713044047,acc,,,
2430,1644542409528565407,0.166713044047,-9.07115077972,0.176519691944,acc,,,
2431,1644542409528831482,,,,gyr,-0.0104719754308,-0.0314159244299,0.0139626339078
2432,1644542409530577421,-0.0392265990376,-10.3362092972,-0.264779537916,acc,,,
2433,1644542409532593250,0.313812792301,-9.49283695221,-0.225552946329,acc,,,
2434,1644542409533843040,,,,gyr,-0.0610865242779,-0.0680678412318,0.0
2435,1644542409534609079,0.343232750893,-9.45361042023,0.0686465501785,acc,,,
2436,1644542409536623001,0.166713044047,-9.62032318115,0.274586200714,acc,,,
2437,1644542409538636684,0.264779537916,-9.56148338318,0.490332484245,acc,,,
2438,1644542409538854837,,,,gyr,-0.0471238903701,-0.069813169539,0.0
2439,1644542409540650606,0.0686465501785,-9.86548995972,0.402072638273,acc,,,
2440,1644542409542666435,0.176519691944,-9.57129001617,0.509945809841,acc,,,
2441,1644542409543866396,,,,gyr,0.0209439508617,-0.0610865242779,-0.0139626339078
2442,1644542409544680357,0.0980664938688,-9.80665016174,0.313812792301,acc,,,
2443,1644542409546694279,0.12748645246,-9.57129001617,0.137293100357,acc,,,
2444,1644542409548707962,0.637432217598,-9.31631755829,0.402072638273,acc,,,
2445,1644542409548877954,,,,gyr,0.0139626339078,-0.0610865242779,-0.0139626339078
2446,1644542409550723553,0.274586200714,-10.2675619125,0.0980664938688,acc,,,
2447,1644542409552735329,0.137293100357,-9.58109664917,0.0294199492782,acc,,,
2448,1644542409553889275,,,,gyr,0.00523598771542,-0.0750491544604,-0.0209439508617
2449,1644542409554749012,0.264779537916,-9.64974308014,-0.0392265990376,acc,,,
2450,1644542409556764841,0.196132987738,-9.94394302368,-0.274586200714,acc,,,
2451,1644542409558778524,0.264779537916,-9.34573745728,-0.196132987738,acc,,,
2452,1644542409558898449,,,,gyr,-0.0610865242779,-0.0977384373546,-0.0104719754308
2453,1644542409560792208,0.196132987738,-9.34573745728,-0.245166242123,acc,,,
2454,1644542409562807798,0.294199496508,-8.26700592041,0.245166242123,acc,,,
