,field.header.stamp,data,angle,type
0,1627577639974094629,1.2004362291519906,1.0456559660775928,pos
1,1627577640829720497,0.9954194945556135,1.3506445360192816,pos
2,1627577642146689415,0.9386722751911958,1.5730860711341264,pos
3,1627577642146689415,0.9592655171340289,1.5489772200924465,pos
4,1627577646421334028,1.175318490968847,1.5731403067277003,pos
5,1627577648482391119,1.138058572633975,1.3419807943498274,pos
6,1627577648482391119,1.1072964842561361,1.6040633416010428,pos
7,1627577648482391119,1.120207050188264,1.3124988253285315,pos
8,1627577648482391119,0.9588262909300791,1.4529381970183195,pos
9,1627577648482391119,1.1504793185667113,1.336135231763589,pos
10,1627577648482391119,0.9275099457715502,1.4330255482444874,pos
11,1627577648482391119,1.1085255174143043,1.4994859802689977,pos
12,1627577648482391119,1.1324326936996845,1.4293678245281316,pos
13,1627577648482391119,1.0752610282060053,1.3143263860169911,pos
14,1627577648482391119,1.1558213900231913,1.4634328363509754,pos
15,1627577648482391119,1.1383599593705296,1.5018330412003447,pos
16,1627577648482391119,1.155629945272846,1.3950695016216756,pos
17,1627577648482391119,1.2469461194931442,1.3862790613378904,pos
18,1627577648482391119,1.1718189410653155,1.6185226430154784,pos
19,1627577648482391119,1.1467635587148926,1.463971972919337,pos
20,1627577648482391119,1.2181084454634652,1.3733402819848621,pos
21,1627577648482391119,1.12686925379555,1.370384726429496,pos
22,1627577648482391119,1.1486145730135504,1.368274752243692,pos
23,1627577648482391119,1.1082450487341624,1.4520334406319184,pos
24,1627577648482391119,1.0516845768311849,1.4778225077533371,pos
25,1627577648482391119,1.0872147438044537,1.6472779670725042,pos
26,1627577648482391119,1.1170925851118478,1.6036222218611043,pos
27,1627577648482391119,1.244498266028619,1.4783571261884705,pos
28,1627577648482391119,1.177601304782134,1.6022541733801443,pos
29,1627577650076752901,0.9458077939206978,1.7521952940697545,pos
30,1627577650076752901,0.9012767011586675,1.6396929793046298,pos
31,1627577650076752901,1.1134295748013698,1.9619856690950035,pos
32,1627577650076752901,0.904252283555617,1.6806011341582223,pos
33,1627577650076752901,0.8736053045998969,1.6974242898344976,pos
34,1627577650076752901,0.9657642627024039,1.7149673513088715,pos
35,1627577650076752901,0.9272625146199023,1.784867303171847,pos
36,1627577650076752901,1.0995189931626066,1.9532421493074024,pos
37,1627577650076752901,1.0658224070535958,1.8352980620818273,pos
38,1627577650076752901,1.063728223305351,1.8526228748969065,pos
39,1627577650076752901,1.069708952932405,1.8001889315014277,pos
40,1627577650076752901,0.9589710077423781,1.804248397772628,pos
41,1627577650076752901,1.0366812229673164,1.6741579666631556,pos
42,1627577650076752901,1.0624037420173336,1.59001990469189,pos
43,1627577650076752901,0.9807791798019909,1.7481612163637568,pos
44,1627577650076752901,1.0760145742500515,1.8383147818867973,pos
45,1627577650076752901,1.0398438826239982,1.8303176635704588,pos
46,1627577651105389833,1.0954817730855717,1.6924471521500566,pos
47,1627577651105389833,0.8195781754737334,1.6592363302898536,pos
48,1627577651105389833,0.9052329751292275,1.8883734106437033,pos
49,1627577653849842548,0.7737334534170989,1.3593838841816344,pos
50,1627577657146637201,0.88127403663546,1.8236501315903169,pos
51,1627577657146637201,0.8725643232504391,1.8003090002461823,pos
52,1627577657146637201,0.8534367749579775,1.6148954142629435,pos
53,1627577657146637201,0.8678154796297997,1.7419112007424937,pos
54,1627577657146637201,0.9447390518671199,1.7560162653032099,pos
55,1627577657146637201,0.8659197502293828,1.2761628874706146,pos
56,1627577657146637201,0.9384192966401514,1.6108112796303131,pos
57,1627577657146637201,0.9706172904508791,1.7066653114909418,pos
58,1627577657717026234,0.8875749608682253,1.455806623037781,pos
59,1627577659908987761,1.1106989449126476,1.821019842504176,pos
60,1627577663274976969,1.2961911274209479,1.7108281102792724,pos
61,1627577663274976969,1.3798676672290733,1.8301009363579501,pos
62,1627577665983256817,1.0197329084075988,1.8458214656763234,pos
63,1627577667646558285,1.1978560749239808,1.6585052476165543,pos
64,1627577668228200197,1.0443112833159907,1.8878120941376428,pos
65,1627577668228200197,1.0118954969117733,1.8787984111470357,pos
66,1627577668228200197,0.996585569353183,1.8683946274149266,pos
67,1627577668228200197,0.9777207399694791,1.8316234555924291,pos
68,1627577668228200197,1.0080800546143862,1.9218954345048478,pos
