,heading,dd,field.header.stamp
0,1.0229422775245434,0.0039366873056981165,1627577631820246934
1,4.041195656966271,0.0015137356206982578,1627577631871196031
2,0.2577635858410008,0.0018201657549641503,1627577631920262098
3,1.6583169040124581,0.0028033208882574196,1627577631969203948
4,1.0938749447302514,0.0021663389706730106,1627577632020314931
5,2.6331895717820633,0.0015067100890182577,1627577632070573091
6,1.3386589678850815,0.0011746943643680982,1627577632120304107
7,1.060204805497937,0.0038564140078295416,1627577632169115066
8,0.9313122729320957,0.003172814461530214,1627577632220232009
9,3.726870941754817,0.002143906217232007,1627577632270466089
10,0.26305853497099196,0.0006187517052024817,1627577632320240020
11,1.2822436743367773,0.0033704362330157014,1627577632369204998
12,1.0742976174661472,0.0023844666784566164,1627577632420245885
13,1.5014333411620124,0.005304326877262347,1627577632470336914
14,1.2363385436289582,0.004337068325601312,1627577632520282030
15,4.311762349163814,0.002178561257504836,1627577632569013118
16,0.10398094571088423,0.0016758906209927758,1627577632620218038
17,2.38772150405735,0.002045761829139379,1627577632677453994
18,1.4209895642711476,0.0009425271389122834,1627577632720351934
19,1.1027549698551495,0.002674805606229741,1627577632780488014
20,1.0020507269238403,0.002186401284823863,1627577632820489883
21,4.349564003882744,0.0027469783438415015,1627577632871155023
22,5.244314343234081,0.001123990299571236,1627577632920392990
23,1.3867307252175807,0.0037887110563584207,1627577632969300985
24,1.3340902553005816,0.0020726665862721197,1627577633020333051
25,1.9667733915479029,0.0014936408287229742,1627577633070409059
26,1.30103896789916,0.0016669401487474558,1627577633120312929
27,4.854454072426167,0.003950778661212984,1627577633169095039
28,5.302683756174566,0.0023128434428561994,1627577633220336914
29,1.7175704809829904,0.007967204209764656,1627577633271116971
30,1.751324332542451,0.004377350128981271,1627577633320203065
31,5.048698733530608,0.005371564487005319,1627577633369304895
32,5.6315789274309385,0.0027545299861828293,1627577633420281887
33,1.8440021051456565,0.006520354777549731,1627577633470406055
34,1.7125617978780852,0.0034172530725388663,1627577633520385980
35,5.0827512613943835,0.0039251856581613625,1627577633569202899
36,5.7291062489888285,0.002081526446865808,1627577633620313882
37,1.9665283128362512,0.0039043749519554667,1627577633677571058
38,1.7615303675116556,0.0019142726499764733,1627577633720227003
39,5.449013226408949,0.0011566551167836113,1627577633780518054
40,0.16368782455426478,0.0009385131249664686,1627577633820267915
41,1.5298019110144576,0.0041890749683216365,1627577633871231079
42,1.3222992403667402,0.0027974407034557754,1627577633920497894
