,time,field.header.stamp,North,West,file_name,lat,lon,Lat,Long
0,2021-07-29 16:53:51.780502016,1627577631780502080,4616.69284329,11940.88676655,./Data/gps_0.csv,80.57649066866911,28.407789684117006,525730.2181106461,8946243.934162436
1,2021-07-29 16:53:51.820247040,1627577631820246934,4616.69284504,11940.88676038,./Data/gps_0.csv,80.57649069921237,28.40778957643019,525730.2160601967,8946243.937522966
2,2021-07-29 16:53:51.871195904,1627577631871196031,4616.69284442,11940.88676324,./Data/gps_0.csv,80.57649068839133,28.407789626346585,525730.2170016206,8946243.93633759
3,2021-07-29 16:53:51.920262144,1627577631920262098,4616.69284468,11940.88675776,./Data/gps_0.csv,80.57649069292918,28.40778953070256,525730.2152415885,8946243.936801584
4,2021-07-29 16:53:51.969203968,1627577631969203948,4616.69284611,11940.88675874,./Data/gps_0.csv,80.57649071788738,28.40778954780677,525730.2154866237,8946243.939594176
5,2021-07-29 16:53:52.020314880,1627577632020314931,4616.69284711,11940.88675577,./Data/gps_0.csv,80.57649073534068,28.40778949597049,525730.2144921739,8946243.941518778
6,2021-07-29 16:53:52.070573056,1627577632070573091,4616.69284747,11940.88675995,./Data/gps_0.csv,80.57649074162386,28.407789568925295,525730.2158083197,8946243.942252219
7,2021-07-29 16:53:52.120304128,1627577632120304107,4616.69284806,11940.88675919,./Data/gps_0.csv,80.57649075192131,28.40778955566077,525730.2155380718,8946243.943395404
8,2021-07-29 16:53:52.169115136,1627577632169115066,4616.69284981,11940.88675354,./Data/gps_0.csv,80.57649078246456,28.40778945704966,525730.2136534677,8946243.946759954
9,2021-07-29 16:53:52.220231936,1627577632220232009,4616.69285114,11940.8867478,./Data/gps_0.csv,80.57649080567745,28.407789356867738,525730.2117599907,8946243.949305832
10,2021-07-29 16:53:52.270466048,1627577632270466089,4616.69285051,11940.88675331,./Data/gps_0.csv,80.57649079468189,28.407789453035406,525730.2135470617,8946243.948121471
11,2021-07-29 16:53:52.320240128,1627577632320240020,4616.6928506,11940.88675145,./Data/gps_0.csv,80.57649079625267,28.40778942057227,525730.2129495955,8946243.948282368
12,2021-07-29 16:53:52.369204992,1627577632369204998,4616.69285227,11940.88674869,./Data/gps_0.csv,80.57649082539967,28.407789372401197,525730.2119904873,8946243.95151346
13,2021-07-29 16:53:52.420245760,1627577632420245885,4616.69285336,11940.88674529,./Data/gps_0.csv,80.57649084442376,28.407789313059993,525730.2108546467,8946243.953610016
14,2021-07-29 16:53:52.470337024,1627577632470336914,4616.69285608,11940.88674454,./Data/gps_0.csv,80.57649089189671,28.407789299970005,525730.2104870178,8946243.958901588
15,2021-07-29 16:53:52.520282112,1627577632520282030,4616.6928582,11940.88674039,./Data/gps_0.csv,80.5764909288977,28.40778922753887,525730.2090633445,8946243.962998332
16,2021-07-29 16:53:52.569012992,1627577632569013118,4616.69285716,11940.8867429,./Data/gps_0.csv,80.57649091074627,28.407789271346644,525730.2099129735,8946243.960992277
17,2021-07-29 16:53:52.620218112,1627577632620218038,4616.69285727,11940.88673769,./Data/gps_0.csv,80.57649091266613,28.407789180414966,525730.2082461346,8946243.961166224
18,2021-07-29 16:53:52.677454080,1627577632677453994,4616.69285797,11940.88674247,./Data/gps_0.csv,80.57649092488343,28.40778926384172,525730.2097375863,8946243.962566478
19,2021-07-29 16:53:52.720352000,1627577632720351934,4616.69285845,11940.8867421,./Data/gps_0.csv,80.57649093326101,28.407789257383996,525730.2095969169,8946243.963498449
20,2021-07-29 16:53:52.780487936,1627577632780488014,4616.69285969,11940.8867385,./Data/gps_0.csv,80.5764909549031,28.407789194552123,525730.2083902074,8946243.965885589
21,2021-07-29 16:53:52.820489984,1627577632820489883,4616.69286065,11940.88673495,./Data/gps_0.csv,80.57649097165826,28.40778913259294,525730.2072126651,8946243.9677278
22,2021-07-29 16:53:52.871154944,1627577632871155023,4616.69285932,11940.88673781,./Data/gps_0.csv,80.57649094844538,28.40778918250939,525730.2081876136,8946243.965159656
23,2021-07-29 16:53:52.920392960,1627577632920392990,4616.69285883,11940.88673595,./Data/gps_0.csv,80.57649093989326,28.407789150046256,525730.2076175329,8946243.964190966
24,2021-07-29 16:53:52.969300992,1627577632969300985,4616.69286075,11940.88673406,./Data/gps_0.csv,80.5764909734036,28.407789117059536,525730.2069240927,8946243.967915677
25,2021-07-29 16:53:53.020333056,1627577633020333051,4616.69286179,11940.88673269,./Data/gps_0.csv,80.57649099155502,28.407789093148523,525730.2064380486,8946243.969930548
26,2021-07-29 16:53:53.070408960,1627577633070409059,4616.69286249,11940.8867346,./Data/gps_0.csv,80.57649100377232,28.407789126484317,525730.2070141606,8946243.971308611
27,2021-07-29 16:53:53.120312832,1627577633120312929,4616.69286332,11940.88673333,./Data/gps_0.csv,80.57649101825854,28.407789104318624,525730.2065699251,8946243.972915268
28,2021-07-29 16:53:53.169094912,1627577633169095039,4616.69286132,11940.88673128,./Data/gps_0.csv,80.57649098335196,28.40778906853936,525730.2060105434,8946243.96900429
29,2021-07-29 16:53:53.220336896,1627577633220336914,4616.69286035,11940.8867271,./Data/gps_0.csv,80.57649096642227,28.40778899558461,525730.204723201,8946243.967082834
30,2021-07-29 16:53:53.271117056,1627577633271116971,4616.69286438,11940.88673135,./Data/gps_0.csv,80.57649103675904,28.407789069761094,525730.2058883866,8946243.974964375
31,2021-07-29 16:53:53.320203008,1627577633320203065,4616.69286658,11940.88673414,./Data/gps_0.csv,80.57649107515628,28.40778911845578,525730.2066743355,8946243.979270589
