%time,field.header.seq,field.header.stamp,field.header.frame_id,field.sentence
1627577933070053858,6368,1627577933069900035,gps_frame,$GPGGA,165852.40,4616.76271608,N,11940.88255322,W,4,8,1.1,323.434,M,-17.561,M,0.4,0000*4A
1627577933120179310,6369,1627577933119944095,gps_frame,$GPGGA,165852.45,4616.76263758,N,11940.88263626,W,4,8,1.1,323.451,M,-17.561,M,0.4,0000*4F
1627577933168734204,6370,1627577933168587923,gps_frame,$GPGGA,165852.50,4616.76260133,N,11940.88265246,W,4,8,1.1,323.412,M,-17.561,M,0.5,0000*41
1627577933220048779,6371,1627577933219854116,gps_frame,$GPGGA,165852.55,4616.76254962,N,11940.88289524,W,4,8,1.1,323.393,M,-17.561,M,0.5,0000*40
1627577933270938712,6372,1627577933270811080,gps_frame,$GPGGA,165852.60,4616.76246466,N,11940.88263196,W,4,8,1.1,323.426,M,-17.561,M,0.6,0000*4F
1627577933320063843,6373,1627577933319894075,gps_frame,$GPGGA,165852.65,4616.76239188,N,11940.88271281,W,4,8,1.1,323.439,M,-17.561,M,0.6,0000*4F
1627577933369002913,6374,1627577933368850946,gps_frame,$GPGGA,165852.70,4616.76236117,N,11940.88267099,W,4,8,1.1,323.425,M,-17.561,M,0.7,0000*42
1627577933420069968,6375,1627577933419923067,gps_frame,$GPGGA,165852.75,4616.76231505,N,11940.88286332,W,4,8,1.1,323.422,M,-17.561,M,0.7,0000*4D
1627577933470120011,6376,1627577933469887971,gps_frame,$GPGGA,165852.80,4616.76220375,N,11940.88275581,W,4,8,1.1,323.443,M,-17.561,M,0.8,0000*4C
1627577933520267065,6377,1627577933520086050,gps_frame,$GPGGA,165852.85,4616.76211632,N,11940.88290138,W,4,8,1.1,323.456,M,-17.561,M,0.8,0000*44
1627577933569044511,6378,1627577933568917989,gps_frame,$GPGGA,165852.90,4616.76210865,N,11940.88272846,W,4,8,1.1,323.425,M,-17.561,M,0.9,0000*44
1627577933620072814,6379,1627577933619859933,gps_frame,$GPGGA,165852.95,4616.76207179,N,11940.88289010,W,4,8,1.1,323.411,M,-17.561,M,0.9,0000*4B
1627577933677040695,6380,1627577933676896095,gps_frame,$GPGGA,165853.00,4616.76199287,N,11940.88281542,W,4,8,1.1,323.412,M,-17.561,M,1.0,0000*41
1627577933720056746,6381,1627577933719846963,gps_frame,$GPGGA,165853.05,4616.76192935,N,11940.88295894,W,4,8,1.1,323.407,M,-17.561,M,1.0,0000*4A
1627577933780112936,6382,1627577933779997110,gps_frame,$GPGGA,165853.10,4616.76181881,N,11940.88287437,W,4,8,1.1,323.483,M,-17.561,M,1.1,0000*49
1627577933819971285,6383,1627577933819796085,gps_frame,$GPGGA,165853.15,4616.76172548,N,11940.88303362,W,4,8,1.1,323.529,M,-17.561,M,1.1,0000*43
1627577933871271035,6384,1627577933871016025,gps_frame,$GPGGA,165853.20,4616.76175603,N,11940.88286386,W,4,8,1.1,323.432,M,-17.561,M,0.2,0000*41
1627577933920036043,6385,1627577933919814109,gps_frame,$GPGGA,165853.25,4616.76174123,N,11940.88305555,W,4,8,1.1,323.387,M,-17.561,M,0.2,0000*4B
1627577933968897671,6386,1627577933968717098,gps_frame,$GPGGA,165853.30,4616.76162478,N,11940.88295737,W,4,8,1.1,323.428,M,-17.561,M,0.3,0000*4E
1627577934020068111,6387,1627577934019857883,gps_frame,$GPGGA,165853.35,4616.76154555,N,11940.88305222,W,4,8,1.1,323.438,M,-17.561,M,0.3,0000*48
